seed,svm_rbf_accuracy,svm_rbf_n_support,q_pauli_accuracy,q_pauli_n_support,compression_ratio_svm_over_q
0,0.8313492063492064,541.0,0.8134920634920635,25.0,21.64
1,0.8273809523809523,538.0,0.8273809523809523,24.0,22.416666666666668
2,0.8174603174603174,540.0,0.8273809523809523,22.0,24.545454545454547
3,0.8214285714285714,543.0,0.8273809523809523,27.0,20.11111111111111
4,0.8273809523809523,545.0,0.8273809523809523,28.0,19.464285714285715
5,0.8313492063492064,545.0,0.8273809523809523,16.0,34.0625
6,0.8253968253968254,541.0,0.8273809523809523,24.0,22.541666666666668
7,0.8095238095238095,532.0,0.8174603174603174,29.0,18.344827586206897
8,0.8273809523809523,539.0,0.8273809523809523,17.0,31.705882352941178
9,0.8293650793650794,540.0,0.8273809523809523,14.0,38.57142857142857
